artisan,product name,principles,materials,processes,industrial scale items,regular price,regular price item,last price,unit price,image,url
olive mode,Somalia Shirt Dress,"woman owned, black owned",", , ,",", , ,",,Regular price,$88.00 USD,$88.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/products/image_a6ef0bb7-cb65-46b6-bf7b-980e2fb7e640.heic?v=1650229043&width=533,https://www.olivemodeboutique.com/products/uptown-topskin-adria-white-shirt-dress-1
olive mode,Spotted Back Out Dress,"woman owned, black owned",", , ,",", , ,",,Regular price,From $38.00 USD,$38.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/products/image_b518d4df-1bbb-414d-a20c-29573cc4597a.jpg?v=1667241584&width=533,https://www.olivemodeboutique.com/products/leopard-long-sleeve-dress
olive mode,St.Lucia Cowl Neck Backless Crop Top,"woman owned, black owned",", , ,",", , ,",,Regular price,From $34.00 USD,$34.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/products/image_0caad4e0-0e3f-49b9-aca7-8d55ce31df3d.jpg?v=1650230854&width=533,https://www.olivemodeboutique.com/products/cowl-neck-backless-crop-top
olive mode,Stainless Steel Gua Sha,"woman owned, black owned",", , ,",", , ,",,Regular price,$13.00 USD,$13.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/products/2f394e02398dbdc0a4e060128a85a42249f99893e8fee4b3277d369fbfb78e1b.jpg?v=1696595121&width=533,https://www.olivemodeboutique.com/products/stainless-steel-gua-sha
olive mode,Star Cubic Necklace,"woman owned, black owned",", , ,",", , ,",,Regular price,$38.00 USD,$38.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/files/IMG-2820.heic?v=1697933837&width=533,https://www.olivemodeboutique.com/products/brenda-grands-jewelry-star-cubic-necklace
olive mode,Starry Chiffon Maxi Dress,"woman owned, black owned",", , ,",", , ,",,Regular price,From $72.00 USD,$72.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/products/image_7e775d37-eb2f-46f4-b57d-ed1f2fab857b.jpg?v=1634955921&width=533,https://www.olivemodeboutique.com/products/pink-shimmer-dress
olive mode,Stone Cold Blue Crossbody,"woman owned, black owned",", , ,",", , ,",,Regular price,$65.00 USD,$65.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/products/image_eaac1197-f7e5-4784-879f-22cb057c9e3d.heic?v=1670787775&width=533,https://www.olivemodeboutique.com/products/urban-expressions-lucas-crossbody
olive mode,Stone Ring: 7,"woman owned, black owned",", , ,",", , ,",,Regular price,$35.00 USD,$35.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/files/IMG-2818.heic?v=1697934192&width=533,https://www.olivemodeboutique.com/products/dylan-ring-7
olive mode,Sun Hoops Mini,"woman owned, black owned",", , ,",", , ,",,Regular price,$38.00 USD,$38.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/files/FullSizeRender_eb09adc9-84c2-4dbf-beb0-18fccdc4ee94.heic?v=1697934110&width=533,https://www.olivemodeboutique.com/products/brenda-grands-jewelry-sun-hoops-mini
olive mode,Tahiti Straw Crossbody,"woman owned, black owned",", , ,",", , ,",,Regular price,$90.00 USD,$90.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/products/image_67514beb-a88e-4cfa-94b5-685260ed6166.heic?v=1678280464&width=533,https://www.olivemodeboutique.com/products/urban-expressions-caspian-crossbody
olive mode,Tamera Pink Sequin Dress,"woman owned, black owned",", , ,",", , ,",,Regular price,$158.00 USD,$158.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/files/Tamera-Dress_2.jpg?v=1698444363&width=533,https://www.olivemodeboutique.com/products/hot-pink-floral-mini-dress
olive mode,The Angela Cargo Pants,"woman owned, black owned",", , ,",", , ,",,Regular price,$68.00 USD,$68.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/products/image_adcb4c29-ec54-418a-9f6f-897368337c61.heic?v=1675108540&width=533,https://www.olivemodeboutique.com/products/black-leather-cargo-pants
olive mode,The Lavender Weighted Satin Eye Mask,"woman owned, black owned",", , ,",", , ,",,Regular price,$24.00 USD,$24.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/products/a74cda9b113013703fc55749939584104a7a6707736105091f095218623fa6b3.jpg?v=1696595101&width=533,https://www.olivemodeboutique.com/products/the-lavender-weighted-satin-eye-mask
olive mode,The Overnight Messenger,"woman owned, black owned",", , ,",", , ,",,Regular price,$70.00 USD,$70.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/products/image_cfebcc89-5032-4320-8a0a-0ec2185ad017.heic?v=1670795525&width=533,https://www.olivemodeboutique.com/products/urban-expressions-lissa-crossbody
olive mode,Tiffany Canvas Backpack,"woman owned, black owned",", , ,",", , ,",,Regular price,$90.00 USD,$90.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/products/image_3aaf42ff-a0fe-4caf-9f43-0c4175189700.heic?v=1655295323&width=533,https://www.olivemodeboutique.com/products/urban-expressions-jamie-backpack
olive mode,Touchland - Power Mist Beach Coco,"woman owned, black owned",", , ,",", , ,",,Regular price,$10.00 USD,$10.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/products/aa463fd9794083c94090efab5f29ffa95ec306d6425780060978db9022084c47.png?v=1680700276&width=533,https://www.olivemodeboutique.com/products/touchland-power-mist-beach-coco
olive mode,Touchland - Power Mist Lemon Lime Spritz,"woman owned, black owned",", , ,",", , ,",,Regular price,$10.00 USD,$10.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/products/a81b13b04b8db9c026209682af26e520c773dba7782769793d7694d5764a0277.png?v=1680700281&width=533,https://www.olivemodeboutique.com/products/touchland-power-mist-lemon-lime-spritz
olive mode,Touchland - Power Mist Pure Lavender,"woman owned, black owned",", , ,",", , ,",,Regular price,$10.00 USD,$10.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/products/b04b40000ed1cf45024d1b641acef47c40afab82c61c3b6f94431076c3a02cd5.png?v=1680700263&width=533,https://www.olivemodeboutique.com/products/touchland-power-mist-pure-lavender
olive mode,Touchland - Smiley x Touchland Mango Passion,"woman owned, black owned",", , ,",", , ,",,Regular price,$10.00 USD,$10.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/products/091d9c654b9cf8af87c4840a617578b94d65d39f283ad74e039e419dd05eb892.png?v=1680700270&width=533,https://www.olivemodeboutique.com/products/touchland-smiley-x-touchland-mango-passion
olive mode,Touchland - Touchland Mist Case Blue,"woman owned, black owned",", , ,",", , ,",,Regular price,$5.50 USD,$5.50 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/products/80f0fb9ac771b0f8e03e5c16deb2ae8174b081b791b61248e55322f5a4ea17f5.png?v=1680700248&width=533,https://www.olivemodeboutique.com/products/touchland-touchland-mist-case-blue
olive mode,Touchland - Touchland Mist Case Pink,"woman owned, black owned",", , ,",", , ,",,Regular price,$5.50 USD,$5.50 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/products/f82597f21cad730815661028da3b662e646f66a3c6a5ad2e42adff6837a8f4e2.png?v=1680700257&width=533,https://www.olivemodeboutique.com/products/touchland-touchland-mist-case-pink
olive mode,Tracee Magenta Pink Metallic Long Sleeve Cutout Dress,"woman owned, black owned",", , ,",", , ,",,Regular price,$149.00 USD,$149.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/products/image_a3743241-3ad5-4126-a342-6813920941e6.jpg?v=1670793764&width=533,https://www.olivemodeboutique.com/products/magenta-pink-metallic-long-sleeve-cutout-dress
olive mode,Vielö - Organic Hand Balm 50ml,"woman owned, black owned",", , ,",", , ,",,Regular price,$22.00 USD,$22.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/products/6ea6b6c1dd75b7a96bf7a5124e3eb3c6da103c25ece58e33bde793e2f806c183.jpg?v=1635599569&width=533,https://www.olivemodeboutique.com/products/vielo-explore-organic-foot-balm-50ml
olive mode,Vivica Clear Evening Clutch,"woman owned, black owned",", , ,",", , ,",,Regular price,$70.00 USD,$70.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/products/image_432d6088-fe13-4aa5-b588-e42786185177.heic?v=1670796697&width=533,https://www.olivemodeboutique.com/products/urban-expressions-sophia-evening-bag
olive mode,Wake Up Hydrogel Eye Mask Charcoal + Hyaluronic Acid,"woman owned, black owned",", , ,",", , ,",,Regular price,$5.00 USD,$5.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/files/IMG-2716.webp?v=1696806740&width=533,https://www.olivemodeboutique.com/products/bright-eyes-collagen-eye-mask-1-pair
