artisan,product name,principles,materials,processes,industrial scale items,regular price,image,url
Dabls Mbad African Bead Museum,Glass beads - 20mm - price per bead,"african american civil rights, african culture, african american culture",,,,$0.60,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1585688347879-01UWLYWMQF6H8ONWEZ8B/Glass+beads+%24.60+ea+20mm+.jpg,
Dabls Mbad African Bead Museum,Glass bead necklace - price per necklace,"african american civil rights, african culture, african american culture",,,,$15.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1585269521898-ZFMALDFUXT0RBVL2B1SV/Glass+bead+necklaces+%2415.00+ea+.jpg,
Dabls Mbad African Bead Museum,Ethiopia Red Amber beads - price per strand,"african american civil rights, african culture, african american culture",,,,$225.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1594695367606-HHXZOWR9VD3S439RU1GI/96386896_4497240226968516_3283185211377975296_n.jpg,
Dabls Mbad African Bead Museum,Ethiopia Butter Scotch Amber beads - price per strand,"african american civil rights, african culture, african american culture",,,,$325.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1594695779358-OCYG495HAD91NLAYQ4QY/101558693_4497240116968527_3575102812658335744_n.jpg,
Dabls Mbad African Bead Museum,Rare strand of Amber beads - price per strand,"african american civil rights, african culture, african american culture",,,,"$2,100.00",https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1594696071452-TK8HCWEABUMVQNAANRYD/82871210_4497239983635207_3439892857018646528_n.jpg,
Dabls Mbad African Bead Museum,Large Amber beads - 25 to 35mm - price per bead,"african american civil rights, african culture, african american culture",,,,$37.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1594788250291-BVQCWTSBPQ0JNGIVEO4D/101737362_4497240363635169_8389071804928360448_n.jpg,
Dabls Mbad African Bead Museum,Cowrie Shell Necklace - price per bead or price per strand,"african american civil rights, african culture, african american culture",,,,from $0.75,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1594836246349-OMBTO3KRTM3T1NGVYXDO/90603641_4216538641705344_8547909440815235072_n+%281%29.jpg,
Dabls Mbad African Bead Museum,Bag of Beads,"african american civil rights, african culture, african american culture",,,,$5.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1584918854160-ANAWOVCE9ECG98IFFS7C/Bags+of+beads+%245.00+ea+.jpg,
Dabls Mbad African Bead Museum,Hand-carved Quartz round beads - price per bead,"african american civil rights, african culture, african american culture",,,,$80.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1585687527575-PRB8S6XAQ3Q6P2JTM56B/Quartz+round+beads.jpg,
Dabls Mbad African Bead Museum,African Amber,"african american civil rights, african culture, african american culture",,,,$450.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1675716367687-4AIIUIACBGJAA5ENIVG3/3D57FF98-38A2-4C77-8E80-4C8E4D05F675,
Dabls Mbad African Bead Museum,African Amber,"african american civil rights, african culture, african american culture",,,,$250.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1675716481764-FL13LFGI5FL7SMT0FBKI/716DF5C7-D2AE-4A5C-8E4C-9C7BF3D067F1,
Dabls Mbad African Bead Museum,African Amber,"african american civil rights, african culture, african american culture",,,,$290.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1675716544525-8CDBHN1MC7X39VG740E4/05DC9521-BF4D-4F59-A8EE-0DD777D55D5F,
Dabls Mbad African Bead Museum,carnelian,"african american civil rights, african culture, african american culture",,,,$350.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1675720400962-HDQWBTWAXS9A64LLZVG7/9C8A1AF2-D75F-4564-A690-A0032EE02838,
Dabls Mbad African Bead Museum,Resin,"african american civil rights, african culture, african american culture",,,,$55.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1675720512437-OVBRBOE2ZU3DRP8F0EPP/34C00C3A-8B9E-4CD6-8F6D-660A09DBD96B,
Dabls Mbad African Bead Museum,Blood Stone & Amazonite,"african american civil rights, african culture, african american culture",,,,$350.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1675720630470-VWMFDLKE9BU8Q9NNEM5R/56F6D720-544B-4DF2-8FE2-50320CD42358,
Dabls Mbad African Bead Museum,African Amber,"african american civil rights, african culture, african american culture",,,,$290.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1675720700029-AWJPGIJ26HM6OC2ZBWZD/394E8ECB-EF64-4912-9E2C-E60F48EC6BDA,
Dabls Mbad African Bead Museum,African Amber,"african american civil rights, african culture, african american culture",,,,$290.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1675720750578-NR4WE1CZ3NLYFZF5RY8O/2C0E1096-5797-4127-B1F4-5385A6C6212B,
Dabls Mbad African Bead Museum,Labradorite,"african american civil rights, african culture, african american culture",,,,$30.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1675720788324-AYAMCC6ANH3Z0BDEJ183/E01BBD4E-B5EC-4E71-8836-DF160B9D24C2,
Dabls Mbad African Bead Museum,Labradorite,"african american civil rights, african culture, african american culture",,,,$37.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1675720869387-PLEO6BUEI6TG5ZI67MCG/C9495EDC-B490-4718-88B7-720652804CB3,
Dabls Mbad African Bead Museum,Chevron,"african american civil rights, african culture, african american culture",,,,$380.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1675720958640-BLAYRPQHQ85Y8BYARFQ4/3D0F0865-14B9-4D49-83AB-719B182D0061,
Dabls Mbad African Bead Museum,Resin,"african american civil rights, african culture, african american culture",,,,$3.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1675721021038-CX2K8I2QL33SETUHJ8OO/28DBBC31-E8E0-4BA3-9EF7-2229B9BF2A96,
Dabls Mbad African Bead Museum,Wood Beads,"african american civil rights, african culture, african american culture",,,,$3.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1675721071810-1593ZFFD18Y6VG16OLME/96B68742-8ED3-4252-ADDA-70B0C7C104DA,
